parameter,category,unit,range_min,range_max,severity,probable_diseases,notes
NO2,Air,µg/m³,101,200,Unhealthy for Sensitive,"Asthma, Hypertension, Rhinitis","1-hour WHO guideline: 200"
NO2,Air,µg/m³,201,400,Unhealthy,"Asthma, COPD, Hypertension, Stroke risk, Preterm birth","Significant cardiovascular load"
NO2,Air,µg/m³,401,9999,Hazardous,"Acute pulmonary edema, COPD, Hypertension, Leukemia risk (benzene co-exposure), Neurodevelopment disorders (children)","Industrial spill levels"
SO2,Air,µg/m³,0,40,Good,"None","WHO guideline"
SO2,Air,µg/m³,41,100,Moderate,"Bronchitis (sensitive), Rhinitis","Fossil fuel burning areas"
SO2,Air,µg/m³,101,200,Unhealthy for Sensitive,"Asthma, Bronchitis, Eczema","Acid rain co-risk"
SO2,Air,µg/m³,201,500,Unhealthy,"Asthma, COPD, Bronchitis, Rhinitis","General population at risk"
SO2,Air,µg/m³,501,9999,Hazardous,"Acute bronchospasm, Pulmonary edema, COPD, Chemical pneumonitis","Industrial accident range"
O3 (Ozone),Air,µg/m³,0,100,Good,"None","Ground-level ozone"
O3 (Ozone),Air,µg/m³,101,140,Moderate,"Mild respiratory irritation, Asthma (sensitive)","Afternoon peaks in cities"
O3 (Ozone),Air,µg/m³,141,180,Unhealthy for Sensitive,"Asthma, Allergic conjunctivitis, Rhinitis","Outdoor exercise risk"
O3 (Ozone),Air,µg/m³,181,240,Unhealthy,"Asthma exacerbation, COPD, Arrhythmia, Preterm birth","Cardiovascular stress"
O3 (Ozone),Air,µg/m³,241,9999,Hazardous,"Acute lung injury, COPD, Heart failure, Preterm birth, Miscarriage","Rare but possible during inversions"
CO,Air,mg/m³,0,4.4,Good,"None",""
CO,Air,mg/m³,4.5,9.4,Moderate,"Headache, Mild cognitive impairment","8-hour WHO limit: 10 mg/m³"
CO,Air,mg/m³,9.5,12.4,Unhealthy for Sensitive,"Arrhythmia, Angina (heart disease patients), Headache, Fatigue","Reduces oxygen delivery"
CO,Air,mg/m³,12.5,15.4,Unhealthy,"Arrhythmia, Ischemic heart disease, Stroke, Cognitive impairment","Indoor combustion risk"
CO,Air,mg/m³,15.5,30.4,Very Unhealthy,"Carboxyhemoglobin toxicity, Stroke, Heart attack, Neurotoxicity, Depression","Serious hypoxia"
CO,Air,mg/m³,30.5,9999,Hazardous,"CO poisoning, Coma, Death, Acute heart failure, Severe neurological damage","Life-threatening"
Benzene,Air,µg/m³,0,1.7,Good,"None","WHO guideline <1.7 µg/m³ annual"
Benzene,Air,µg/m³,1.8,5,Moderate,"Immune suppression, Blood abnormalities","Near petrol stations"
Benzene,Air,µg/m³,5.1,10,Unhealthy for Sensitive,"Aplastic anemia (early), Childhood leukemia risk, Neurodevelopment impairment","Group 1 carcinogen"
Benzene,Air,µg/m³,10.1,25,Unhealthy,"Leukemia, Aplastic anemia, Lymphoma, Neurotoxicity","Occupational exposure zones"
Benzene,Air,µg/m³,25.1,9999,Hazardous,"Acute leukemia, Severe aplastic anemia, Bone marrow failure, Bladder cancer","Industrial spill / refinery"
Lead (Pb) Air,Air,µg/m³,0,0.5,Good,"None","WHO guideline: 0.5 µg/m³"
Lead (Pb) Air,Air,µg/m³,0.51,1,Moderate,"Mild neurotoxicity (children), Hypertension risk","No safe level for children"
Lead (Pb) Air,Air,µg/m³,1.01,2,Unhealthy for Sensitive,"ADHD, Neurodevelopment disorder, Hypertension, Kidney disease","Children most vulnerable"
Lead (Pb) Air,Air,µg/m³,2.01,5,Unhealthy,"Lead poisoning, Cognitive decline, Alzheimer's risk, Kidney failure, Cardiovascular disease","Cumulative bio-accumulation"
Lead (Pb) Air,Air,µg/m³,5.01,9999,Hazardous,"Acute lead poisoning, Encephalopathy, Renal failure, Anemia, Reproductive failure","Smelter / battery plant zones"
VOCs (Total),Air,µg/m³,0,220,Good,"None","Mixed volatile organic compounds"
VOCs (Total),Air,µg/m³,221,660,Moderate,"Headache, Eye and throat irritation","Paints, solvents, traffic"
VOCs (Total),Air,µg/m³,661,2200,Unhealthy for Sensitive,"Asthma, Eczema, Dermatitis, Rhinitis, Neurodevelopment issues","Includes formaldehyde, xylene"
VOCs (Total),Air,µg/m³,2201,5500,Unhealthy,"Liver toxicity, Kidney damage, Central nervous system depression, Skin cancer risk","Occupational zones"
VOCs (Total),Air,µg/m³,5501,9999,Hazardous,"Acute hepatotoxicity, Renal failure, Leukemia, Bladder cancer, Respiratory failure","Industrial release"
AQI (Composite),Air,AQI,0,50,Good,"None","US EPA AQI scale"
AQI (Composite),Air,AQI,51,100,Moderate,"Asthma (sensitive), Allergic rhinitis, Conjunctivitis","Sensitive groups"
AQI (Composite),Air,AQI,101,150,Unhealthy for Sensitive,"Asthma, COPD, Rhinitis, Eczema, Arrhythmia","Children, elderly, lung/heart patients"
AQI (Composite),Air,AQI,151,200,Unhealthy,"Asthma, COPD, Bronchitis, Ischemic heart disease, Stroke, Preterm birth","All groups affected"
AQI (Composite),Air,AQI,201,300,Very Unhealthy,"Asthma, Pneumonia, COPD, Stroke, Heart attack, Cognitive impairment, Depression","Avoid outdoor exposure"
AQI (Composite),Air,AQI,301,500,Hazardous,"Acute respiratory failure, Lung cancer risk, Stroke, Heart failure, Neurotoxicity, Miscarriage, Preterm birth","Health emergency"
Nitrates (NO3-),Water,mg/L,0,10,Safe,"None","WHO/EPA limit: 10 mg/L"
Nitrates (NO3-),Water,mg/L,10.1,20,Elevated,"Methemoglobinemia (Blue Baby Syndrome in infants), Thyroid dysfunction","Infants under 6 months critical risk"
Nitrates (NO3-),Water,mg/L,20.1,50,High,"Methemoglobinemia, Colorectal cancer risk, Thyroid disorders, Gastric cancer","Agricultural runoff zones"
Nitrates (NO3-),Water,mg/L,50.1,9999,Hazardous,"Acute methemoglobinemia, Infant death, Colorectal cancer, Gastric cancer, Kidney damage","Emergency — do not consume"
Nitrites (NO2-),Water,mg/L,0,1,Safe,"None","WHO limit: 1 mg/L"
Nitrites (NO2-),Water,mg/L,1.1,3,Elevated,"Methemoglobinemia, Cardiovascular stress","More toxic than nitrates"
Nitrites (NO2-),Water,mg/L,3.1,9999,Hazardous,"Acute methemoglobinemia, Infant mortality, Renal damage","Do not consume"
Lead (Pb) Water,Water,µg/L,0,10,Safe,"None","WHO guideline: 10 µg/L"
Lead (Pb) Water,Water,µg/L,10.1,15,Elevated,"Mild neurotoxicity, Hypertension (adults), Neurodevelopment risk (children)","No safe level for children"
Lead (Pb) Water,Water,µg/L,15.1,50,High,"ADHD, IQ reduction, Hypertension, Kidney disease, Anemia","US EPA action level: 15 µg/L"
Lead (Pb) Water,Water,µg/L,50.1,9999,Hazardous,"Lead poisoning, Encephalopathy, Kidney failure, Cardiovascular disease, Reproductive failure","Severe contamination"
Arsenic,Water,µg/L,0,10,Safe,"None","WHO/EPA limit: 10 µg/L"
Arsenic,Water,µg/L,10.1,50,Elevated,"Peripheral neuropathy, Skin hyperpigmentation, Keratosis","Groundwater contamination"
Arsenic,Water,µg/L,50.1,200,High,"Arsenicosis, Skin cancer, Bladder cancer, Lung cancer, Liver disease, Diabetes","Chronic exposure disease"
Arsenic,Water,µg/L,200.1,9999,Hazardous,"Acute arsenic poisoning, Multi-organ failure, Skin cancer, Bladder cancer, Leukemia","Industrial dumping zones"
Fluoride,Water,mg/L,0,1.5,Safe,"None","WHO guideline: 1.5 mg/L"
Fluoride,Water,mg/L,1.5,4,Elevated,"Dental fluorosis, Skeletal fluorosis (long-term)","Children most affected"
Fluoride,Water,mg/L,4.1,10,High,"Severe skeletal fluorosis, Joint pain, Bone fractures, Thyroid dysfunction","Crippling fluorosis"
Fluoride,Water,mg/L,10.1,9999,Hazardous,"Acute fluoride toxicity, Renal failure, Cardiac arrhythmia, Neurotoxicity","Industrial effluent"
Mercury,Water,µg/L,0,1,Safe,"None","WHO guideline: 1 µg/L"
Mercury,Water,µg/L,1.1,5,Elevated,"Mild neurotoxicity, Kidney stress, Tremors (sensitive)","Bioaccumulates in fish"
Mercury,Water,µg/L,5.1,20,High,"Minamata disease, Peripheral neuropathy, Kidney damage, Developmental disorders (fetal)","Coal plant / industrial discharge"
Mercury,Water,µg/L,20.1,9999,Hazardous,"Acute mercury poisoning, Renal failure, Neurological collapse, Fetal brain damage","Severe industrial spill"
Cadmium,Water,µg/L,0,3,Safe,"None","WHO guideline: 3 µg/L"
Cadmium,Water,µg/L,3.1,10,Elevated,"Kidney tubular dysfunction, Bone demineralization","Mining runoff"
Cadmium,Water,µg/L,10.1,50,High,"Itai-itai disease, Osteoporosis, Renal failure, Lung cancer risk","Zinc smelter zones"
Cadmium,Water,µg/L,50.1,9999,Hazardous,"Acute cadmium poisoning, Renal failure, Lung cancer, Bone fractures","Emergency contamination"
Chromium (VI),Water,µg/L,0,50,Safe,"None","WHO guideline: 50 µg/L (total Cr)"
Chromium (VI),Water,µg/L,50.1,100,Elevated,"Allergic dermatitis, Mild GI irritation","Tannery / industrial zones"
Chromium (VI),Water,µg/L,100.1,500,High,"Lung cancer, Nasal ulcers, Kidney damage, Liver damage","Hexavalent chromium — carcinogenic"
Chromium (VI),Water,µg/L,500.1,9999,Hazardous,"Acute renal failure, Hepatotoxicity, Lung cancer, GI hemorrhage","Industrial spill"
Chlorine (residual),Water,mg/L,0,0.2,Too Low,"Cholera, Typhoid, Dysentery, Hepatitis A (untreated water risk)","Below minimum disinfection"
Chlorine (residual),Water,mg/L,0.2,0.5,Safe,"None","WHO recommended range"
Chlorine (residual),Water,mg/L,0.5,4,Acceptable,"None (may cause taste/odor)","EPA maximum: 4 mg/L"
Chlorine (residual),Water,mg/L,4.1,9999,Hazardous,"Gastroenteritis, Respiratory irritation, Thyroid dysfunction (THMs from chlorination byproducts)","Over-chlorination"
pH,Water,pH units,0,4,Hazardous,"Chemical burns (GI tract), Heavy metal leaching causing lead/arsenic poisoning","Extreme acid"
pH,Water,pH units,4.1,6.4,Acidic,"Dental erosion, GI irritation, Copper/lead leaching from pipes causing poisoning","Acidic water leaches metals"
pH,Water,pH units,6.5,8.5,Safe,"None","WHO acceptable range"
pH,Water,pH units,8.6,10,Alkaline,"GI discomfort, Skin irritation, Kidney stress (long term)","High alkalinity"
pH,Water,pH units,10.1,14,Hazardous,"Chemical burns, Esophageal damage, Renal failure","Extreme alkaline"
Turbidity,Water,NTU,0,1,Safe,"None","WHO guideline: <1 NTU"
Turbidity,Water,NTU,1.1,4,Acceptable,"Mild GI infection risk (protozoa: Giardia, Cryptosporidium)","Signals possible pathogens"
Turbidity,Water,NTU,4.1,10,Elevated,"Gastroenteritis, Giardiasis, Cryptosporidiosis, Hepatitis A","Protozoa survive high turbidity"
Turbidity,Water,NTU,10.1,9999,Hazardous,"Cholera, Typhoid fever, Dysentery, Hepatitis A, Leptospirosis","Do not consume untreated"
E. coli / Coliforms,Water,CFU/100mL,0,0,Safe,"None","Must be zero in drinking water"
E. coli / Coliforms,Water,CFU/100mL,1,10,Low Contamination,"Mild gastroenteritis, Diarrhea","Fecal contamination detected"
E. coli / Coliforms,Water,CFU/100mL,11,100,Moderate,"Gastroenteritis, Diarrhea, Urinary tract infection, Hemolytic uremic syndrome (E.coli O157)","Children and elderly at high risk"
E. coli / Coliforms,Water,CFU/100mL,101,9999,Hazardous,"Severe gastroenteritis, Cholera, Typhoid fever, Dysentery, Hemolytic uremic syndrome, Hepatitis A, Kidney failure","Sewage contamination"
Dissolved Oxygen (DO),Water,mg/L,0,2,Hypoxic,"None (human health) — but signals eutrophication: algal bloom toxins (Cyanotoxins causing liver damage, neurotoxicity)","Dead zone / algal bloom marker"
Dissolved Oxygen (DO),Water,mg/L,2.1,5,Low,"Algal bloom risk: Cyanobacteria toxins — Liver disease, Neurotoxicity, Skin rashes","Bloom conditions"
Dissolved Oxygen (DO),Water,mg/L,5.1,8,Moderate,"Mild algal bloom risk","Monitor for blooms"
Dissolved Oxygen (DO),Water,mg/L,8.1,14,Safe,"None","Healthy aquatic oxygen"
Total Dissolved Solids (TDS),Water,mg/L,0,300,Excellent,"None","Best drinking quality"
Total Dissolved Solids (TDS),Water,mg/L,301,600,Good,"None","Acceptable"
Total Dissolved Solids (TDS),Water,mg/L,601,900,Fair,"Mild GI discomfort (laxative effect at high levels)","WHO guideline: <600"
Total Dissolved Solids (TDS),Water,mg/L,901,1200,Poor,"Hypertension risk (high sodium TDS), Kidney stones, GI irritation","Check ion composition"
Total Dissolved Solids (TDS),Water,mg/L,1201,9999,Unacceptable,"Kidney disease, Hypertension, Cardiovascular stress, GI disorders","Do not consume"
Cyanotoxins (Algal),Water,µg/L,0,1,Safe,"None","WHO guideline: <1 µg/L Microcystin-LR"
Cyanotoxins (Algal),Water,µg/L,1.1,20,Alert,"Hepatotoxicity (liver damage), Gastroenteritis, Skin rashes","Algal bloom recreational risk"
Cyanotoxins (Algal),Water,µg/L,20.1,2000,Hazardous,"Acute liver failure, Neurotoxicity, Paralytic shellfish poisoning, Kidney damage","Do not use water"
Hardness (Calcium),Water,mg/L CaCO3,0,60,Soft,"Cardiovascular disease risk (low Ca/Mg)","Paradoxically soft water may raise CVD risk"
Hardness (Calcium),Water,mg/L CaCO3,61,120,Moderate,"None","Ideal range"
Hardness (Calcium),Water,mg/L CaCO3,121,180,Hard,"None (may reduce pipe corrosion)","Generally acceptable"
Hardness (Calcium),Water,mg/L CaCO3,181,9999,Very Hard,"Kidney stones (chronic), Urinary tract disorders","High calcium oxalate risk"
